Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
2977,1761000.0,57189,Diesel,Automatic,2nd Owner,2018,1197,5,Toyota,Innova Crysta 2.8 ZX AT BSIV
2978,565000.0,10188,Petrol,Manual,1st Owner,2016,2143,5,Hyundai,i20 Asta 1.2
2979,130000.0,55892,Petrol,Manual,4th Owner,2008,998,5,Hyundai,i10 Sportz 1.2
2980,664000.0,38285,Petrol,Manual,1st Owner,2019,1086,5,Hyundai,i20 Sportz Plus BSIV
2981,928000.0,26523,Petrol,Manual,1st Owner,2021,998,5,Toyota,Urban cruiser Premium
2982,664000.0,35986,Petrol,Manual,1st Owner,2019,1461,5,Hyundai,i20 Sportz Plus BSIV
2983,1929000.0,51609,Diesel,Automatic,1st Owner,2016,1248,4,Mercedes-Benz,CLA 200 D Sport Edition
2984,413000.0,42561,Petrol,Manual,1st Owner,2019,1248,5,Maruti,Wagon R VXI Opt
2985,105000.0,30778,Petrol,Manual,1st Owner,2008,1086,5,Hyundai,Santro Xing GLS
2986,335000.0,30819,Cng,Manual,2nd Owner,2017,796,5,Maruti,Wagon R LXI CNG
2987,139000.0,77464,Diesel,Manual,3rd Owner,2012,1498,5,Nissan,Micra Diesel XV
2988,542000.0,55142,Diesel,Manual,1st Owner,2016,1493,5,Maruti,Vitara Brezza VDi
2989,479000.0,64705,Diesel,Manual,2nd Owner,2015,1399,5,Maruti,Swift Dzire ZDI
2990,130000.0,83013,Petrol,Manual,4th Owner,2009,1248,5,Hyundai,i10 Era 1.1
2991,,91817,Petrol,Manual,4th Owner,2009,1968,5,Maruti,800 AC BSIII
2992,561000.0,76012,Diesel,Manual,1st Owner,2018,814,7,Honda,Amaze VX i DTEC
2993,1773000.0,20507,Diesel,Automatic,1st Owner,2020,1199,7,Hyundai,Creta SX Opt Diesel AT
2994,174000.0,118039,Diesel,Manual,1st Owner,2009,1497,5,Ford,Fiesta 1.4 ZXi TDCi ABS
2995,280000.0,169306,Diesel,Manual,1st Owner,2014,1196,5,Tata,Zest Quadrajet 1.3 XMS
2996,1690000.0,71000,Diesel,Automatic,1st Owner,2014,1493,5,Audi,A6 2.0 TDI Premium Plus
2997,216000.0,51841,Petrol,Manual,2nd Owner,2016,998,5,Hyundai,EON D Lite Plus
2998,414000.0,10098,Petrol,Manual,1st Owner,2017,1399,5,Tata,Tigor 1.2 Revotron XZ Option
2999,497000.0,58328,Petrol,Manual,3rd Owner,2015,1461,5,Honda,City i VTEC V
3000,309000.0,94128,Petrol,Manual,1st Owner,2018,998,5,Maruti,Eeco 7 Seater Standard BSIV
3001,516000.0,38979,Diesel,Manual,1st Owner,2017,796,5,Mahindra,TUV 300 T6
3002,324000.0,54087,Cng,Manual,1st Owner,2016,1197,5,Maruti,Wagon R LXI CNG
3003,126000.0,71969,Diesel,Manual,1st Owner,2010,1591,5,Ford,Figo Diesel ZXI
3004,602000.0,59609,Diesel,Manual,1st Owner,2018,1197,7,Renault,Duster 85PS Diesel RxE
3005,287000.0,94509,Cng,Manual,1st Owner,2015,1197,5,Maruti,Wagon R LXI CNG
3006,264000.0,52254,Petrol,Manual,1st Owner,2018,1198,5,Maruti,Alto 800 LXI
3007,600000.0,25000,Petrol,Manual,1st Owner,2018,2694,5,Maruti,Swift Dzire Tour 1.2 S STD
3008,907000.0,36006,Petrol,Manual,1st Owner,2018,2967,7,Hyundai,Verna VTVT 1.6 SX Option
3009,191000.0,94264,Petrol,Manual,2nd Owner,2010,1086,5,Hyundai,i20 Asta
3010,608000.0,14976,Petrol,Manual,1st Owner,2022,1197,5,Maruti,Baleno Sigma
3011,221000.0,163605,Petrol,Manual,1st Owner,2017,2967,5,Datsun,GO T BSIV
3012,3100000.0,44000,Petrol,Automatic,2nd Owner,2019,1198,7,Toyota,Fortuner 2.7 2WD AT
3013,995000.0,68000,Diesel,Automatic,3rd Owner,2011,1950,5,Audi,Q5 3.0 TDI Quattro
3014,225000.0,38000,Petrol,Manual,1st Owner,2011,1248,5,Hyundai,i10 Magna 1.1L
3015,650000.0,65000,Petrol,Manual,1st Owner,2019,2179,5,Maruti,Swift Dzire VXI 1.2 BS IV
3016,1875000.0,43000,Diesel,Automatic,2nd Owner,2014,1950,5,Audi,Q7 45 TDI Quattro Premium Plus
3017,360000.0,80000,Petrol,Manual,3rd Owner,2015,1950,5,Honda,Amaze E i-Vtech
3018,3900000.0,24000,Diesel,Automatic,2nd Owner,2020,1991,5,Mercedes-Benz,C-Class Progressive C 220d
3019,600000.0,90000,Diesel,Manual,1st Owner,2018,1997,5,Maruti,Baleno 1.3 Delta
3020,1000000.0,25000,Diesel,Manual,1st Owner,2016,4367,7,Mahindra,Scorpio S8 7 Seater
3021,5650000.0,24000,Diesel,Automatic,1st Owner,2020,1998,5,Mercedes-Benz,GLC 220d 4MATIC
3022,8900000.0,13000,Diesel,Automatic,1st Owner,2021,1968,7,Mercedes-Benz,GLE 300d
3023,6100000.0,15000,Petrol,Automatic,1st Owner,2021,1997,7,Mercedes-Benz,GLC 200
3024,7400000.0,9900,Diesel,Automatic,1st Owner,2021,1582,5,Jaguar,F-Pace 2.0 R-Dynamic S Diesel
3025,19000000.0,68500,Diesel,Automatic,1st Owner,2019,2998,7,Land,Rover Range Rover 4.4 Diesel LWB Autobiography
3026,7450000.0,7600,Petrol,Automatic,1st Owner,2022,2179,5,BMW,X4 xDrive30i M Sport Silver Shadow Edition
3027,1475000.0,76000,Diesel,Automatic,2nd Owner,2016,1462,5,Audi,Q3 35 TDI Quattro Premium Plus
3028,450000.0,120000,Diesel,Manual,2nd Owner,2013,2523,7,Mahindra,XUV500 1.99 FWD W8
3029,520000.0,120000,Diesel,Manual,2nd Owner,2016,2487,5,Hyundai,Verna 1.6 CRDi SX
3030,11500000.0,39000,Petrol,Automatic,1st Owner,2019,2497,5,BMW,X7 xDrive 40i
3031,1125000.0,88000,Diesel,Manual,1st Owner,2017,2982,7,Mahindra,Scorpio S10 7 Seater
3032,1450000.0,2000,Petrol,Automatic,1st Owner,2022,998,7,Maruti,Grand Vitara Delta AT
3033,750000.0,40000,Diesel,Manual,1st Owner,2019,2143,5,Mahindra,Bolero ZLX
3034,4090000.0,20000,Petrol,Automatic,1st Owner,2019,2179,5,Toyota,Camry Hybrid 2.5
3035,500000.0,110000,Petrol,Automatic,2nd Owner,2006,1248,5,Mercedes-Benz,E-Class E240 V6 AT
3036,850000.0,80000,Diesel,Manual,3rd Owner,2011,1598,5,Toyota,Fortuner 3.0 Diesel
3037,100000.0,110000,Petrol,Manual,3rd Owner,2008,1950,8,Maruti,Zen Estilo LXI BSIII
3038,4400000.0,49000,Diesel,Automatic,1st Owner,2017,1498,5,Mercedes-Benz,GLE 250d
3039,320000.0,145000,Diesel,Manual,3rd Owner,2013,998,5,Tata,Safari Storme VX
